Squad,# Pl,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,season,country
Leicester City,2,68,1.8,178,113,64.0,9,7,22,7,18.4,2022,EN
Liverpool,2,47,1.2,157,111,71.3,19,10,9,14,36.8,2022,EN
Manchester City,2,33,0.9,92,60,67.4,28,5,5,13,34.2,2022,EN
Manchester Utd,1,43,1.1,142,99,71.1,23,6,9,17,44.7,2022,EN
Newcastle Utd,2,33,0.9,127,94,75.6,19,14,5,14,36.8,2022,EN
Nott'ham Forest,3,68,1.8,182,112,65.9,9,11,18,8,21.1,2022,EN
Southampton,2,73,1.9,150,81,52.7,6,7,25,4,10.5,2022,EN
Tottenham,2,63,1.7,172,109,65.1,18,6,14,10,26.3,2022,EN
West Ham,2,55,1.4,170,115,70.0,11,7,20,9,23.7,2022,EN
Wolves,2,58,1.5,174,115,67.8,11,8,19,11,28.9,2022,EN
Almería,3,65,1.7,203,138,70.0,11,8,19,4,10.5,2022,SP
Athletic Club,2,43,1.1,123,83,67.5,14,9,15,11,28.9,2022,SP
Atlético Madrid,3,33,0.9,128,95,77.3,23,8,7,13,34.2,2022,SP
Barcelona,2,20,0.5,102,85,83.3,28,4,6,26,68.4,2022,SP
Betis,2,41,1.1,146,106,74.0,17,9,12,13,34.2,2022,SP
Cádiz,2,53,1.4,202,148,78.2,10,12,16,13,34.2,2022,SP
